2114 | 2281 | JS9426 | SRBM Running | 58
2124 | 2394 | RB5112 | EOUY Running | 248
2131 | 2131 | OO8864 | SRBM Waiting | 283
2137 | 2707 | OJ8092 | FFTC Running | 28
2138 | 2348 | RX8056 | FJSX Running | 39
2142 | 2542 | NV1107 | ALIV Running | 196
2143 | 2143 | VF5011 | ALIV Waiting | 129
2147 | 2572 | HA4744 | ALIV Running | 286
2147 | 2424 | RH2097 | EOUY Running | 387
2147 | 2602 | RS7294 | ALIV Running | 209
2154 | 2454 | RY6755 | EOUY Running | 80
2161 | 2311 | VD8516 | SRBM Running | 200
2167 | 2735 | GT6012 | FFTC Running | 107
2168 | 2378 | ME1842 | FJSX Running | 314
2169 | 2765 | JT7268 | FFTC Running | 228
2173 | 2632 | MM3255 | ALIV Running | 270
2174 | 2662 | KD6219 | ALIV Running | 358
2184 | 2484 | MS3067 | EOUY Running | 21
2191 | 2341 | AM1241 | SRBM Running | 22
2197 | 2795 | HQ2481 | FFTC Running | 143
2198 | 2408 | PU5760 | FJSX Running | 127
2203 | 2692 | MV9271 | ALIV Running | 132
2212 | 2825 | DN3939 | FFTC Running | 327
2214 | 2214 | HG3446 | ALIV Waiting | 486
2214 | 2505 | HH7831 | EOUY Running | 260
2221 | 2363 | SI8909 | SRBM Running | 235
2226 | 2855 | AL8329 | FFTC Running | 434
2226 | 2226 | QL3937 | ALIV Waiting | 174
2227 | 2885 | IB9569 | FFTC Running | 401
2228 | 2438 | KZ5553 | FJSX Running | 102
2244 | 2535 | NN2959 | EOUY Running | 175
2251 | 2393 | OF1143 | SRBM Running | 16
2256 | 2722 | KN4141 | ALIV Running | 392
2257 | 2915 | DO7856 | FFTC Running | 9
2258 | 2468 | PS5394 | FJSX Running | 57
2261 | 2924 | OG3119 | FFTC Running | 332
2266 | 2752 | UV6552 | ALIV Running | 231
2272 | 2782 | VF5011 | ALIV Running | 414
2274 | 2565 | UQ1895 | EOUY Running | 296
2276 | 2595 | QK2602 | EOUY Running | 399
2281 | 2409 | UK2328 | SRBM Running | 10
2286 | 2812 | RC2143 | ALIV Running | 174
2287 | 2954 | NJ8281 | FFTC Running | 165
2288 | 2288 | SU6401 | NSI Waiting | 318
2288 | 2498 | EQ7970 | FJSX Running | 348
2294 | 2294 | RT4035 | NSI Running | 44
2296 | 2625 | YW2452 | EOUY Running | 496
2303 | 2842 | LY8012 | ALIV Running | 354
2304 | 2655 | RI3215 | EOUY Running | 129
2311 | 2419 | JS9426 | SRBM Running | 28
2316 | 2872 | MO4112 | ALIV Running | 9
2317 | 2984 | XP4672 | FFTC Running | 327
2318 | 2528 | LR7917 | FJSX Running | 72
2334 | 2685 | BJ4358 | EOUY Running | 3
2338 | 2688 | RT4035 | EOUY Running | 403
2339 | 3014 | DQ6125 | FFTC Running | 269
2341 | 2447 | VD8516 | SRBM Running | 170
2346 | 2881 | IK3661 | ALIV Running | 145
2347 | 3044 | RY3354 | FFTC Running | 115
2348 | 2558 | MN7646 | FJSX Running | 200
2363 | 2363 | AM1241 | DAX Running | 207
2364 | 2718 | NJ6254 | EOUY Running | 290
2376 | 2911 | RM8150 | ALIV Running | 34
2377 | 2377 | HJ9644 | ALIV Waiting | 389
2377 | 3074 | GF3754 | FFTC Running | 278
2378 | 2588 | RX8056 | FJSX Running | 9
2380 | 2597 | ZU9699 | FJSX Running | 382
2391 | 2941 | VQ9351 | ALIV Running | 241
2393 | 2477 | SI8909 | SRBM Running | 205
2394 | 2748 | BQ9441 | EOUY Running | 333
2400 | 2971 | QL3937 | ALIV Running | 233
2407 | 3001 | JY3265 | ALIV Running | 161
2407 | 3104 | RE5250 | FFTC Running | 205
2408 | 2627 | ME1842 | FJSX Running | 284
2409 | 2657 | IC8737 | FJSX Running | 183
2409 | 2409 | OF1143 | SRBM Waiting | 1
2410 | 2507 | OF1143 | SRBM Running | 314
2414 | 2537 | OO8864 | SRBM Running | 42
2419 | 2419 | UK2328 | BQD Running | 81
2424 | 2567 | UJ3059 | SRBM Running | 236
2424 | 2778 | RB5112 | EOUY Running | 218
2428 | 3031 | DM7975 | ALIV Running | 105
