1089 | 1089 | PG5871 | IUNW Running | 158
1089 | 1089 | SU2343 | QQEK Running | 52
1089 | 1089 | XM3977 | BSPW Running | 240
1090 | 1090 | QU7673 | XEHG Running | 80
1092 | 1092 | OZ9719 | XDZS Running | 110
1095 | 1095 | RK3997 | CTS Running | 173
1097 | 1097 | VL5374 | OJGN Running | 58
1100 | 1130 | XO3259 | COUC Running | 344
1101 | 1101 | LC5212 | OWK Running | 280
1106 | 1106 | VB6255 | DJWT Running | 278
1115 | 1115 | PL7982 | KOFU Running | 152
1116 | 1116 | MG8205 | ZDEY Running | 430
1119 | 1119 | HL2348 | XODE Running | 213
1119 | 1119 | PG5871 | IUNW Running | 128
1119 | 1119 | SU2343 | QQEK Running | 22
1119 | 1119 | XM3977 | BSPW Running | 210
1120 | 1120 | QU7673 | XEHG Running | 50
1122 | 1122 | OZ9719 | XDZS Running | 80
1127 | 1127 | VL5374 | OJGN Running | 28
1130 | 1160 | QP9398 | COUC Running | 96
1133 | 1133 | KY9181 | IZCW Running | 94
1136 | 1136 | JS8214 | XDLS Running | 331
1136 | 1136 | VB6255 | DJWT Running | 248
1140 | 1140 | GC9521 | KVC Waiting | 221
1141 | 1141 | SU2343 | QQEK Waiting | 430
1145 | 1145 | PL7982 | KOFU Running | 122
1146 | 1146 | MG8205 | ZDEY Running | 400
1149 | 1149 | HL2348 | XODE Running | 183
1149 | 1149 | PG5871 | IUNW Running | 98
1149 | 1149 | XM3977 | BSPW Running | 180
1150 | 1150 | BW4028 | ZODI Running | 264
1150 | 1150 | QU7673 | XEHG Running | 20
1152 | 1152 | OZ9719 | XDZS Running | 50
1155 | 1155 | VL5374 | VLK Running | 145
1160 | 1190 | XO3259 | COUC Running | 314
1163 | 1163 | XZ7278 | VRS Waiting | 347
1163 | 1163 | KY9181 | IZCW Running | 64
1165 | 1165 | YS5313 | JGZ Waiting | 375
1166 | 1166 | JS8214 | XDLS Running | 301
1166 | 1166 | VB6255 | DJWT Running | 218
1167 | 1167 | JC5084 | IZHF Running | 472
1170 | 1170 | QU7673 | DTU Running | 249
1175 | 1175 | PL7982 | KOFU Running | 92
1176 | 1176 | MG8205 | ZDEY Running | 370
1179 | 1179 | YS2422 | ZSUU Running | 40
1179 | 1179 | HL2348 | XODE Running | 153
1179 | 1179 | PG5871 | IUNW Running | 68
1179 | 1179 | XM3977 | BSPW Running | 150
1180 | 1180 | BW4028 | ZODI Running | 234
1182 | 1182 | OZ9719 | XDZS Running | 20
1190 | 1220 | QP9398 | COUC Running | 66
1193 | 1193 | CA5128 | WOKX Running | 378
1193 | 1193 | UR2397 | DVK Running | 112
1193 | 1193 | KY9181 | IZCW Running | 34
1196 | 1196 | JS8214 | XDLS Running | 271
1196 | 1196 | VB6255 | DJWT Running | 188
1197 | 1197 | JC5084 | IZHF Running | 442
1202 | 1202 | OZ9719 | XDZS Waiting | 298
1205 | 1205 | PL7982 | KOFU Running | 62
1206 | 1206 | MG8205 | ZDEY Running | 340
1209 | 1209 | HL2348 | XODE Running | 123
1209 | 1209 | PG5871 | IUNW Running | 38
1209 | 1209 | XM3977 | BSPW Running | 120
1209 | 1209 | YS2422 | ZSUU Running | 10
1210 | 1210 | BW4028 | ZODI Running | 204
1219 | 1219 | YS2422 | ZSUU Waiting | 37
1220 | 1250 | XO3259 | COUC Running | 284
1223 | 1223 | CA5128 | WOKX Running | 348
1223 | 1223 | KY9181 | IZCW Running | 4
1225 | 1225 | AR5532 | VATX Running | 179
1226 | 1226 | JS8214 | XDLS Running | 241
1226 | 1226 | VB6255 | DJWT Running | 158
1227 | 1227 | KY9181 | SFR Running | 343
1227 | 1227 | JC5084 | IZHF Running | 412
1233 | 1233 | RQ2767 | KYFD Running | 55
1235 | 1235 | PL7982 | KOFU Running | 32
1236 | 1236 | MG8205 | ZDEY Running | 310
1239 | 1239 | HL2348 | XODE Running | 93
1239 | 1239 | PG5871 | IUNW Running | 8
1239 | 1239 | XM3977 | BSPW Running | 90
1240 | 1240 | BW4028 | ZODI Running | 174
1243 | 1243 | FW6957 | MPW Waiting | 147
1247 | 1247 | PG5871 | IUNW Waiting | 92
1250 | 1280 | QP9398 | COUC Running | 36
1253 | 1253 | CA5128 | WOKX Running | 318
1255 | 1255 | AR5532 | VATX Running | 149
1256 | 1256 | YS2422 | ZSUU Running | 392
1256 | 1256 | JS8214 | XDLS Running | 211
1256 | 1256 | VB6255 | DJWT Running | 128
1257 | 1257 | JC5084 | IZHF Running | 382
1263 | 1263 | RQ2767 | KYFD Running | 25
1265 | 1265 | PL7982 | KOFU Running | 2
1266 | 1266 | MG8205 | ZDEY Running | 280
1267 | 1267 | PL7982 | KOFU Waiting | 420
1268 | 1268 | RK3997 | CTS Waiting | 450
1269 | 1269 | HL2348 | XODE Running | 63
1269 | 1269 | XM3977 | BSPW Running | 60
1270 | 1270 | BW4028 | ZODI Running | 144
1273 | 1273 | PE6014 | EKY Running | 472
1278 | 1278 | UO8342 | NJOC Running | 47
1280 | 1310 | XO3259 | COUC Running | 254
1283 | 1283 | DD9967 | MPU Running | 43
1283 | 1283 | CA5128 | WOKX Running | 288
1285 | 1285 | AR5532 | VATX Running | 119
1286 | 1286 | JS8214 | XDLS Running | 181
1286 | 1286 | VB6255 | DJWT Running | 98
1286 | 1286 | YS2422 | ZSUU Running | 362
1287 | 1287 | JC5084 | IZHF Running | 352
1288 | 1288 | RQ2767 | KYFD Waiting | 439
1296 | 1296 | MG8205 | ZDEY Running | 250
1297 | 1297 | BL5271 | QBNK Running | 403
1299 | 1299 | HL2348 | XODE Running | 33
1299 | 1299 | XM3977 | BSPW Running | 30
1300 | 1300 | VL5374 | VLK Waiting | 293
1300 | 1300 | BW4028 | ZODI Running | 114
1302 | 1302 | QU3910 | JVI Running | 361
1305 | 1305 | UR2397 | DVK Waiting | 370
1308 | 1308 | UO8342 | NJOC Running | 17
1309 | 1309 | PX1184 | IYOH Running | 2
1310 | 1340 | QP9398 | COUC Running | 6
1311 | 1311 | PX1184 | AUR Running | 11
1312 | 1312 | II7761 | WAT Running | 275
1313 | 1313 | YQ9451 | YYQM Running | 218
1313 | 1313 | CA5128 | WOKX Running | 258
1315 | 1315 | AR5532 | VATX Running | 89
1316 | 1316 | JS8214 | XDLS Running | 151
1316 | 1316 | VB6255 | DJWT Running | 68
1316 | 1316 | YS2422 | ZSUU Running | 332
1317 | 1317 | JC5084 | IZHF Running | 322
1319 | 1319 | HV9140 | FXVZ Running | 432
1322 | 1322 | PX1184 | AUR Waiting | 209
1325 | 1325 | UO8342 | NJOC Waiting | 432
1326 | 1326 | DD9967 | MPU Waiting | 64
1326 | 1326 | MG8205 | ZDEY Running | 220
1327 | 1327 | BL5271 | QBNK Running | 373
1329 | 1329 | XM3977 | MRS Running | 480
1329 | 1329 | HL2348 | XODE Running | 3
1330 | 1330 | BW4028 | ZODI Running | 84
1332 | 1332 | HL2348 | WQA Running | 469
1339 | 1339 | PG5871 | IUNW Running | 246
1340 | 1340 | OK2340 | QVBM Running | 168
1340 | 1346 | XO3259 | COUC Running | 224
1343 | 1343 | CA5128 | WOKX Running | 228
1343 | 1343 | YQ9451 | YYQM Running | 188
1345 | 1345 | AR5532 | VATX Running | 59
1346 | 1346 | QP9398 | COUC Waiting | 258
1346 | 1346 | JS8214 | XDLS Running | 121
1346 | 1346 | VB6255 | DJWT Running | 38
1346 | 1346 | YS2422 | ZSUU Running | 302
1347 | 1347 | JC5084 | IZHF Running | 292
1349 | 1349 | HV9140 | FXVZ Running | 402
1354 | 1354 | MU7363 | SRN Waiting | 118
1356 | 1356 | MG8205 | ZDEY Running | 190
1357 | 1357 | BL5271 | QBNK Running | 343
1359 | 1359 | HV4984 | RPYP Running | 260
1360 | 1360 | BW4028 | ZODI Running | 54
1361 | 1361 | GC9521 | KVC Running | 58
1362 | 1362 | QJ4589 | LLU Waiting | 216
1369 | 1369 | PG5871 | IUNW Running | 216
1370 | 1370 | OK2340 | QVBM Running | 138
1373 | 1373 | CA5128 | WOKX Running | 198
1373 | 1373 | YQ9451 | YYQM Running | 158
1375 | 1375 | AR5532 | VATX Running | 29
1376 | 1376 | ZF6289 | YDGI Running | 132
1376 | 1376 | JS8214 | XDLS Running | 91
